Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-04-03 00:00:00+00:00,232.84019470214844,235.2039337158203,231.50643920898438,231.70736694335938,21088375,0.0,0.0
2015-04-04 00:00:00+00:00,231.6791229248047,232.56011962890625,228.77186584472656,231.137939453125,11382562,0.0,0.0
2015-04-05 00:00:00+00:00,231.1962432861328,236.76202392578125,229.53900146484375,237.03656005859375,17872658,0.0,0.0
2015-04-06 00:00:00+00:00,237.14845275878906,238.4534149169922,231.85336303710938,233.6888427734375,18324522,0.0,0.0
2015-04-07 00:00:00+00:00,233.48944091796875,233.9323272705078,230.513671875,233.9925994873047,17067837,0.0,0.0
2015-04-08 00:00:00+00:00,233.88539123535156,233.5084228515625,226.4604949951172,227.2509765625,27904285,0.0,0.0
2015-04-09 00:00:00+00:00,226.9996337890625,228.62796020507812,222.82203674316406,228.5033721923828,20295855,0.0,0.0
2015-04-10 00:00:00+00:00,228.52024841308594,228.56312561035156,219.61599731445312,222.66741943359375,27242030,0.0,0.0
2015-04-11 00:00:00+00:00,222.61460876464844,225.9356689453125,220.87814331054688,223.1201629638672,15435955,0.0,0.0
2015-04-12 00:00:00+00:00,223.10414123535156,224.22938537597656,220.2367401123047,222.65982055664062,11680087,0.0,0.0
2015-04-13 00:00:00+00:00,222.46841430664062,223.67129516601562,210.084228515625,212.45578002929688,29497493,0.0,0.0
2015-04-14 00:00:00+00:00,212.6184844970703,212.44192504882812,203.06298828125,205.87974548339844,29797088,0.0,0.0
2015-04-15 00:00:00+00:00,205.79896545410156,209.6796112060547,205.6905059814453,209.6796112060547,21135363,0.0,0.0
2015-04-16 00:00:00+00:00,209.75831604003906,213.44981384277344,209.66012573242188,212.48768615722656,23059775,0.0,0.0
2015-04-17 00:00:00+00:00,212.48953247070312,212.34323120117188,205.99777221679688,206.2767333984375,18907728,0.0,0.0
2015-04-18 00:00:00+00:00,206.2498779296875,207.6038818359375,204.42018127441406,206.7154083251953,11975012,0.0,0.0
2015-04-19 00:00:00+00:00,206.80795288085938,209.48912048339844,205.5203399658203,205.99667358398438,13901073,0.0,0.0
2015-04-20 00:00:00+00:00,206.0077667236328,210.8729248046875,205.40113830566406,209.01275634765625,17088211,0.0,0.0
2015-04-21 00:00:00+00:00,209.0071563720703,219.11985778808594,208.55508422851562,219.11985778808594,23263481,0.0,0.0
2015-04-22 00:00:00+00:00,219.4300079345703,221.76454162597656,217.83541870117188,218.3866424560547,22239952,0.0,0.0
2015-04-23 00:00:00+00:00,218.2719268798828,218.65464782714844,217.92262268066406,218.7032928466797,15756567,0.0,0.0
2015-04-24 00:00:00+00:00,218.2482452392578,218.67942810058594,211.4132080078125,212.60159301757812,19717503,0.0,0.0
2015-04-25 00:00:00+00:00,212.5712432861328,213.79022216796875,208.06858825683594,208.11729431152344,12830667,0.0,0.0
2015-04-26 00:00:00+00:00,208.1356964111328,208.6265869140625,197.53079223632812,201.96041870117188,26639393,0.0,0.0
2015-04-27 00:00:00+00:00,201.95950317382812,214.35592651367188,201.38832092285156,210.8376922607422,35470345,0.0,0.0
2015-04-28 00:00:00+00:00,210.54620361328125,211.04928588867188,203.84629821777344,205.9405517578125,19576183,0.0,0.0
2015-04-29 00:00:00+00:00,205.6998291015625,206.96444702148438,202.98899841308594,203.22923278808594,17043020,0.0,0.0
2015-04-30 00:00:00+00:00,203.125732421875,213.51426696777344,202.36822509765625,210.65567016601562,30168243,0.0,0.0
2015-05-01 00:00:00+00:00,210.47189331054688,212.7167510986328,207.2318878173828,207.2318878173828,16800875,0.0,0.0
2015-05-02 00:00:00+00:00,207.46585083007812,210.4893341064453,207.46585083007812,209.77764892578125,11193410,0.0,0.0
2015-05-03 00:00:00+00:00,209.73301696777344,217.19796752929688,209.02133178710938,214.85475158691406,16531778,0.0,0.0
2015-05-04 00:00:00+00:00,214.8529510498047,217.3007354736328,213.2633819580078,214.42361450195312,19039562,0.0,0.0
2015-05-05 00:00:00+00:00,214.2747039794922,214.66749572753906,208.73797607421875,211.21835327148438,21405403,0.0,0.0
2015-05-06 00:00:00+00:00,211.33285522460938,211.45948791503906,202.12591552734375,202.66537475585938,26095608,0.0,0.0
2015-05-07 00:00:00+00:00,202.55953979492188,212.19825744628906,201.3681640625,211.0761260986328,25848808,0.0,0.0
2015-05-08 00:00:00+00:00,210.96051025390625,219.3205108642578,210.73313903808594,217.7931671142578,24511476,0.0,0.0
2015-05-09 00:00:00+00:00,217.70919799804688,221.31285095214844,214.02072143554688,215.97927856445312,17674824,0.0,0.0
2015-05-10 00:00:00+00:00,215.88729858398438,217.9762420654297,213.31517028808594,214.6458282470703,13415900,0.0,0.0
2015-05-11 00:00:00+00:00,214.64849853515625,218.86032104492188,214.8411407470703,217.2794952392578,18745895,0.0,0.0
2015-05-12 00:00:00+00:00,217.26783752441406,217.86956787109375,215.41270446777344,214.95230102539062,17190514,0.0,0.0
2015-05-13 00:00:00+00:00,215.207275390625,215.2862091064453,207.10635375976562,208.35345458984375,23957779,0.0,0.0
2015-05-14 00:00:00+00:00,208.2097930908203,209.05406188964844,205.1871795654297,207.83245849609375,21415526,0.0,0.0
2015-05-15 00:00:00+00:00,207.8552703857422,209.102294921875,206.789794921875,207.49716186523438,14260239,0.0,0.0
2015-05-16 00:00:00+00:00,207.53121948242188,207.5775146484375,205.47987365722656,206.22915649414062,9684482,0.0,0.0
2015-05-17 00:00:00+00:00,206.10426330566406,207.8639373779297,206.10426330566406,206.94049072265625,9730228,0.0,0.0
2015-05-18 00:00:00+00:00,207.0147705078125,207.51466369628906,205.4804229736328,205.92527770996094,14822277,0.0,0.0
2015-05-19 00:00:00+00:00,205.8448944091797,209.43739318847656,207.9635772705078,208.1922607421875,12783323,0.0,0.0
2015-05-20 00:00:00+00:00,208.14109802246094,211.6167755126953,209.05499267578125,210.80804443359375,13962166,0.0,0.0
2015-05-21 00:00:00+00:00,210.80624389648438,212.5051727294922,210.1887664794922,211.88800048828125,13603043,0.0,0.0
2015-05-22 00:00:00+00:00,211.86729431152344,219.0229034423828,210.6461181640625,218.2006378173828,24514753,0.0,0.0
2015-05-23 00:00:00+00:00,218.14434814453125,218.81524658203125,216.69631958007812,216.8606414794922,13259192,0.0,0.0
2015-05-24 00:00:00+00:00,216.95506286621094,219.76023864746094,216.80526733398438,219.22755432128906,10470385,0.0,0.0
2015-05-25 00:00:00+00:00,219.2039031982422,219.07015991210938,215.5949249267578,216.18344116210938,13150894,0.0,0.0
2015-05-26 00:00:00+00:00,216.177978515625,218.49046325683594,216.25103759765625,217.83738708496094,15089573,0.0,0.0
2015-05-27 00:00:00+00:00,217.79054260253906,218.71139526367188,217.3507843017578,217.770751953125,17287996,0.0,0.0
2015-05-28 00:00:00+00:00,217.74688720703125,217.2900848388672,216.61509704589844,216.61314392089844,12618248,0.0,0.0
2015-05-29 00:00:00+00:00,216.58485412597656,216.6776123046875,215.3778076171875,215.79684448242188,13475016,0.0,0.0
2015-05-30 00:00:00+00:00,215.793212890625,215.79412841796875,211.2005157470703,212.3828125,12832074,0.0,0.0
2015-05-31 00:00:00+00:00,212.19168090820312,212.2981719970703,209.34063720703125,210.1040496826172,13445418,0.0,0.0
2015-06-01 00:00:00+00:00,210.14329528808594,212.4053497314453,202.6334686279297,204.12599182128906,23890212,0.0,0.0
2015-06-02 00:00:00+00:00,204.09669494628906,203.52000427246094,203.40101623535156,202.5684051513672,18353817,0.0,0.0
2015-06-03 00:00:00+00:00,202.50828552246094,201.74237060546875,200.81607055664062,200.61639404296875,15767297,0.0,0.0
2015-06-04 00:00:00+00:00,200.5258026123047,201.0657501220703,200.1554412841797,200.1820526123047,13143048,0.0,0.0
2015-06-05 00:00:00+00:00,200.0303497314453,203.20863342285156,197.9239044189453,202.4588165283203,16251013,0.0,0.0
2015-06-06 00:00:00+00:00,202.50653076171875,203.1491241455078,201.943115234375,203.0591278076172,10018450,0.0,0.0
2015-06-07 00:00:00+00:00,203.03842163085938,203.57662963867188,200.80447387695312,200.7575225830078,11996397,0.0,0.0
2015-06-08 00:00:00+00:00,200.75572204589844,203.3173828125,200.71969604492188,202.5970916748047,20729207,0.0,0.0
2015-06-09 00:00:00+00:00,202.64053344726562,204.40216064453125,201.5465545654297,202.84095764160156,25109015,0.0,0.0
2015-06-10 00:00:00+00:00,202.79400634765625,203.7435760498047,201.9217071533203,202.3193817138672,14063843,0.0,0.0
2015-06-11 00:00:00+00:00,202.36537170410156,204.37255859375,202.46658325195312,204.27301025390625,12819920,0.0,0.0
2015-06-12 00:00:00+00:00,204.27301025390625,204.91043090820312,203.74322509765625,204.1018829345703,12440273,0.0,0.0
2015-06-13 00:00:00+00:00,204.04685974121094,206.47142028808594,203.41676330566406,206.2495574951172,11808040,0.0,0.0
2015-06-14 00:00:00+00:00,206.28504943847656,208.42918395996094,205.89634704589844,208.09320068359375,10840150,0.0,0.0
2015-06-15 00:00:00+00:00,207.98538208007812,211.01588439941406,207.94833374023438,210.079833984375,17663532,0.0,0.0
2015-06-16 00:00:00+00:00,210.02838134765625,224.0494842529297,209.45799255371094,223.23605346679688,37024646,0.0,0.0
2015-06-17 00:00:00+00:00,223.17198181152344,228.1110076904297,219.0313720703125,219.4208221435547,38604348,0.0,0.0
2015-06-18 00:00:00+00:00,219.54757690429688,221.0504150390625,214.82489013671875,218.98426818847656,27244921,0.0,0.0
2015-06-19 00:00:00+00:00,219.0159149169922,221.86793518066406,214.6957244873047,215.4169921875,21105504,0.0,0.0
2015-06-20 00:00:00+00:00,215.35006713867188,216.49317932128906,211.91281127929688,215.95068359375,18148921,0.0,0.0
2015-06-21 00:00:00+00:00,215.85205078125,215.96124267578125,213.1118927001953,214.7205352783203,9330957,0.0,0.0
2015-06-22 00:00:00+00:00,214.74253845214844,218.6024169921875,215.02955627441406,217.7466278076172,15597725,0.0,0.0
2015-06-23 00:00:00+00:00,217.6910858154297,219.47462463378906,217.4130401611328,218.62896728515625,13521299,0.0,0.0
2015-06-24 00:00:00+00:00,218.61642456054688,218.63009643554688,214.6497039794922,214.6497039794922,15479607,0.0,0.0
2015-06-25 00:00:00+00:00,214.51583862304688,217.28012084960938,214.4584197998047,216.74610900878906,14401982,0.0,0.0
2015-06-26 00:00:00+00:00,216.57203674316406,218.33482360839844,216.7366485595703,218.1764373779297,12524407,0.0,0.0
2015-06-27 00:00:00+00:00,218.13613891601562,225.11331176757812,217.7492218017578,224.80072021484375,18350739,0.0,0.0
2015-06-28 00:00:00+00:00,224.7693634033203,224.96372985839844,224.89910888671875,226.90997314453125,13794059,0.0,0.0
2015-06-29 00:00:00+00:00,226.6457061767578,229.3525390625,225.7569580078125,229.21444702148438,30978957,0.0,0.0
2015-06-30 00:00:00+00:00,229.18948364257812,240.26101684570312,228.72743225097656,236.29928588867188,40001617,0.0,0.0
2015-07-01 00:00:00+00:00,236.5445098876953,238.1000213623047,229.86788940429688,234.3643035888672,24494608,0.0,0.0
2015-07-02 00:00:00+00:00,234.30177307128906,236.3637237548828,229.18109130859375,230.4330596923828,19444154,0.0,0.0
2015-07-03 00:00:00+00:00,230.4754638671875,231.8306427001953,228.3417510986328,230.68394470214844,17129050,0.0,0.0
2015-07-04 00:00:00+00:00,230.82342529296875,235.29248046875,228.76170349121094,234.7786102294922,14057235,0.0,0.0
2015-07-05 00:00:00+00:00,234.70571899414062,250.23336791992188,232.81227111816406,247.3285369873047,40163817,0.0,0.0
2015-07-06 00:00:00+00:00,246.59632873535156,250.26792907714844,242.3913116455078,243.55422973632812,44500091,0.0,0.0
2015-07-07 00:00:00+00:00,244.39889526367188,245.9581298828125,241.98831176757812,241.8744354248047,26219880,0.0,0.0
2015-07-08 00:00:00+00:00,241.6699981689453,247.3011474609375,240.72291564941406,244.6336669921875,33408799,0.0,0.0
2015-07-09 00:00:00+00:00,244.67160034179688,246.32325744628906,241.1176300048828,243.3809356689453,36432110,0.0,0.0
2015-07-10 00:00:00+00:00,243.31585693359375,264.6106262207031,242.86412048339844,255.2584991455078,89947137,0.0,0.0
2015-07-11 00:00:00+00:00,255.24595642089844,267.45452880859375,254.036376953125,262.6242980957031,36833527,0.0,0.0
2015-07-12 00:00:00+00:00,262.646728515625,281.6898193359375,262.0777893066406,279.3556823730469,50687455,0.0,0.0
2015-07-13 00:00:00+00:00,279.3197326660156,279.22772216796875,253.7803497314453,265.9630126953125,56510245,0.0,0.0
2015-07-14 00:00:00+00:00,265.94482421875,269.0289001464844,261.1022033691406,261.23590087890625,26106143,0.0,0.0
2015-07-15 00:00:00+00:00,261.763916015625,266.2260437011719,260.5615539550781,261.365234375,25134053,0.0,0.0
2015-07-16 00:00:00+00:00,261.5599670410156,266.260986328125,252.72242736816406,255.57301330566406,45476151,0.0,0.0
2015-07-17 00:00:00+00:00,255.57485961914062,258.72796630859375,249.6036376953125,258.1250305175781,25483883,0.0,0.0
2015-07-18 00:00:00+00:00,257.99481201171875,260.94671630859375,253.1403045654297,253.90321350097656,23263231,0.0,0.0
2015-07-19 00:00:00+00:00,253.77943420410156,254.6134796142578,251.69760131835938,252.6678466796875,14158740,0.0,0.0
2015-07-20 00:00:00+00:00,252.56163024902344,257.5763854980469,252.08717346191406,257.5763854980469,20968886,0.0,0.0
2015-07-21 00:00:00+00:00,257.4849853515625,259.35748291015625,251.91531372070312,252.24783325195312,20970005,0.0,0.0
2015-07-22 00:00:00+00:00,252.08688354492188,255.11392211914062,251.08071899414062,253.7965545654297,17751350,0.0,0.0
2015-07-23 00:00:00+00:00,253.905517578125,254.00584411621094,250.78770446777344,251.29632568359375,16869640,0.0,0.0
2015-07-24 00:00:00+00:00,251.25625610351562,263.50823974609375,250.54978942871094,262.35711669921875,33854569,0.0,0.0
2015-07-25 00:00:00+00:00,262.25335693359375,264.59136962890625,260.2857666015625,262.7384338378906,18804332,0.0,0.0
2015-07-26 00:00:00+00:00,262.68658447265625,266.70184326171875,261.8365478515625,266.7572021484375,14612012,0.0,0.0
2015-07-27 00:00:00+00:00,266.7143859863281,267.999267578125,259.5251159667969,264.8124084472656,27590188,0.0,0.0
2015-07-28 00:00:00+00:00,264.8205261230469,267.3476867675781,265.9985656738281,266.11260986328125,23005785,0.0,0.0
2015-07-29 00:00:00+00:00,266.1641540527344,266.16302490234375,261.0295715332031,263.7431640625,22470492,0.0,0.0
2015-07-30 00:00:00+00:00,263.29962158203125,264.6410827636719,261.1335754394531,263.0240173339844,19778590,0.0,0.0
2015-07-31 00:00:00+00:00,263.0002746582031,264.17901611328125,257.942626953125,259.10247802734375,21508374,0.0,0.0
2015-08-01 00:00:00+00:00,259.13525390625,259.35919189453125,253.15127563476562,256.3271484375,17290188,0.0,0.0
2015-08-02 00:00:00+00:00,255.27853393554688,257.91143798828125,252.62060546875,257.7419128417969,16162517,0.0,0.0
2015-08-03 00:00:00+00:00,257.9170227050781,260.7279357910156,255.1051483154297,256.82830810546875,19611050,0.0,0.0
2015-08-04 00:00:00+00:00,256.82647705078125,262.1719665527344,256.80303955078125,262.1007080078125,20132972,0.0,0.0
2015-08-05 00:00:00+00:00,261.759765625,262.8196716308594,259.0062561035156,258.5361633300781,18460974,0.0,0.0
2015-08-06 00:00:00+00:00,258.5581970214844,258.46337890625,254.7145538330078,255.0837860107422,17207307,0.0,0.0
2015-08-07 00:00:00+00:00,255.23394775390625,255.76210021972656,253.12876892089844,254.84002685546875,38724638,0.0,0.0
2015-08-08 00:00:00+00:00,254.98313903808594,255.15267944335938,237.6355743408203,237.89718627929688,53352475,0.0,0.0
2015-08-09 00:00:00+00:00,238.00564575195312,243.37161254882812,237.4149932861328,241.95236206054688,21713764,0.0,0.0
